iso3,Year,EG.ELC.ACCS.ZS,EN.POP.DNST,SH.XPD.PVTD.PP.CD,SL.IND.EMPL.ZS,SL.TLF.TOTL.FE.ZS,SuicideRatesPer100k
SWZ,2001,26.9,61.1083720930233,101.836277916336,26.1594775591698,44.7225420933055,20.69
SWZ,2002,25.9,61.5954069767442,109.167799430235,26.1742693343467,45.1689805936949,22.24
SWZ,2003,28.7,62.0174418604651,118.594709694569,26.0712348580727,45.599493082947,23.47
SWZ,2004,31.4,62.3929651162791,130.579359292722,26.0584079056173,45.9905886872179,24.06
SWZ,2005,34.2,62.7338372093023,139.220889660053,26.1542170446977,46.3293405871032,24.45
SWZ,2006,35.2,63.0486046511628,150.582961003201,26.2137388380103,46.642959377905,25.03
SWZ,2007,39.8,63.4130813953488,159.382676917231,26.2351512978866,46.9154785882793,25.52
SWZ,2008,42.6,63.8425,157.995742318118,26.0706479531789,47.1170429431902,26.12
SWZ,2009,38.6,64.2530813953488,154.754710264376,25.9801743493357,47.2688751706061,25.47
SWZ,2010,45.6,64.6308139534884,161.428469114033,25.8635981521043,47.3913350567163,35.49
SWZ,2011,51.2,64.9902906976744,165.731929126193,25.7980492968396,47.4740974322672,25.32
SWZ,2012,54.3,65.3408720930233,157.663248028817,25.819093727659,47.5145951492796,25.85
SWZ,2013,57.5,65.6970930232558,159.034343042863,25.6546312774545,47.5417048176041,26.73
SWZ,2014,65.0,66.0638953488372,157.009831704525,25.4216492522097,47.5879469552684,28.03
SWZ,2015,64.1,66.4426162790698,153.697869491333,25.0791584576414,47.6528235481459,30.06
SWZ,2016,63.4,66.8318023255814,147.451273355666,24.5259843609439,47.7144560819935,31.91
SWZ,2017,73.5,67.3369186046512,145.411337101565,23.2176415004194,47.8399538420854,34.9
SWZ,2018,74.0,67.960988372093,160.512661885074,22.0718097133038,48.0269992381825,35.51
SWZ,2019,77.0,68.5973255813954,180.230449578683,21.0192118627154,48.2331817602312,33.26
SWZ,2020,80.0,69.3447093023256,180.281282152352,19.9533153634534,48.1752019123777,29.09
SWZ,2021,82.9,70.1507558139535,205.160937736121,18.8338178563224,48.4091217308756,31.77
SYC,2000,94.1,176.371739130435,110.50500091705,20.1084849861516,44.3012746850849,9.2
SYC,2001,94.4,176.526086956522,202.432192343368,20.1084849861516,44.3012746850849,9.26
SYC,2002,96.1,182.00652173913,138.098607628428,20.1084849861516,44.3012746850849,8.46
SYC,2003,94.9,179.958695652174,166.174507272738,20.1084849861516,44.3012746850849,8.59
SYC,2004,95.2,179.29347826087,179.465751295925,20.1084849861516,44.3012746850849,8.82
SYC,2005,95.5,180.126086956522,216.798183903321,20.1084849861516,44.3012746850849,7.91
SYC,2006,99.0,183.913043478261,261.060030333094,20.1084849861516,44.3012746850849,7.68
SYC,2007,96.1,184.854347826087,250.256001404356,20.1084849861516,44.3012746850849,7.06
SYC,2008,96.5,189.034782608696,378.800805164097,20.1084849861516,44.3012746850849,7.23
