iso3,Year,SL.TLF.TOTL.FE.ZS,SP.POP.TOTL.FE.ZS,EN.POP.DNST,SE.COM.DURS,SL.IND.EMPL.ZS,SH.XPD.OOPC.CH.ZS,NY.GDP.MKTP.CD,SP.URB.TOTL.IN.ZS,SL.TLF.TOTL.IN,SH.XPD.EHEX.PP.CD,GC.XPN.COMP.ZS,NV.IND.MANF.ZS,EG.ELC.ACCS.ZS,SL.AGR.EMPL.ZS,MS.MIL.TOTL.P1,SP.POP.1564.TO.ZS,MS.MIL.TOTL.TF.ZS,SE.XPD.TOTL.GD.ZS,IT.MLT.MAIN.P2,DT.TDS.DPPG.GN.ZS,SuicideRatesPer100k
CZE,2002,44.0655083489889,51.2508462353708,131.96474699107,9.0,40.1017734956952,10.00170326,82607869609.574,73.809,5141940.0,6.946052627743034,13.8061533610935,22.2337422618735,100.0,4.66197973302943,55000.0,70.4768792675557,1.06963519605441,3.95878005027771,35.9,1.50003420459832,12.45
CZE,2003,44.1430112965051,51.2124799198198,131.926983305293,9.0,40.0460603489287,10.36722469,100435924704.881,73.74,5134951.0,0.0,11.4797851171319,21.5573078751672,100.0,4.371070404283,62600.0,70.8053449966201,1.21909634580739,4.11728000640869,35.4,1.50003420459832,13.78
CZE,2004,44.0587325090824,51.1749119276515,131.984222107171,9.0,40.2329516248033,10.70501423,120147899983.657,73.671,5133307.0,0.0,11.9314425879964,22.6375803693078,100.0,4.09726759460295,27000.0,71.0720839195281,0.525976724166312,3.99238991737366,33.4,1.50003420459832,13.24
CZE,2005,43.9616533407433,51.1356299852736,132.166916903961,9.0,40.3947687974843,11.09285259,137264185596.1,73.602,5175001.0,0.0,12.5268415435274,22.5500860120426,100.0,3.83845269476557,28000.0,71.2328489290407,0.541062697379189,3.86591005325317,31.3,1.50003420459832,12.7
CZE,2006,43.9128059139627,51.0942116268986,132.542459546926,9.0,40.5260387664349,11.6460247,156236258386.589,73.533,5192187.0,0.0,12.758531125371,23.1974657899776,100.0,3.60343520716388,26000.0,71.3012363375791,0.500752380451629,4.1955099105835,28.0,1.50003420459832,11.57
CZE,2007,43.5560348648705,51.0548106063501,133.318161812298,9.0,40.6374200654725,13.63102531,190040702286.917,73.463,5188948.0,0.0,12.5188077997016,23.158566717203,100.0,3.3816441773922,27000.0,71.2409902430394,0.520336684815496,3.84717988967896,23.2,1.50003420459832,11.34
CZE,2008,43.3240213855156,51.0164100219959,134.445921802175,9.0,40.5255439043335,16.13297081,236506264753.95,73.394,5203709.0,0.0,12.5735566247224,21.9248536989135,100.0,3.17428872192186,27000.0,71.0094411002581,0.518860681871334,3.7271900177002,23.9,1.50003420459832,11.4
CZE,2009,43.3647700404241,50.9774029016838,135.214085965821,9.0,38.5713177201047,15.05053902,206971882704.716,73.324,5244400.0,0.0,12.4106529408029,20.3438089674199,100.0,3.1169403373314,26541.0,70.6222814168853,0.506082678666768,4.1460599899292,24.2,1.50003420459832,11.87
CZE,2010,43.3043703343595,50.9388204454591,135.626181535673,9.0,37.9871714619411,13.85482121,211168667286.27,73.255,5230927.0,0.0,12.1269234981557,20.6982379160476,100.0,3.09618142646128,28521.0,70.1383514992853,0.545237966425454,4.03350019454956,22.6,1.50003420459832,11.98
CZE,2011,43.5513024559219,50.9109703271265,135.90687556649,9.0,38.4526278046565,14.21162128,231429378717.312,73.185,5223171.0,0.0,11.4169807691088,21.8643072456478,100.0,2.98912279398288,26750.0,69.5092644845973,0.512140996341112,4.24209022521973,21.0,1.50003420459832,12.97
CZE,2012,43.7520817829007,50.8897831847942,136.097177262722,9.0,38.1239970525626,14.21601486,210363223087.728,73.197,5253910.0,0.0,11.1923602366216,21.7136033387837,100.0,3.05022924512854,26750.0,68.7404703476191,0.509144618008302,4.22070980072021,20.2,1.50003420459832,13.09
CZE,2013,44.0090123149563,50.8645713133742,136.159958559959,9.0,37.5114648056328,14.33172131,213024360541.119,73.29,5300303.0,0.0,11.7973682473166,21.7617319791193,100.0,3.03035957605877,24100.0,67.9917611396456,0.454690986534166,4.04676008224487,19.0,1.50003420459832,12.78
CZE,2014,43.9036657660262,50.8400313923082,136.30337995338,9.0,38.0395055487515,14.45865345,210911285077.683,73.384,5296601.0,0.0,11.7058445780414,23.4691665652122,100.0,2.74853669364203,24800.0,67.2980768549652,0.468224810590792,3.96522998809814,19.0,1.50003420459832,11.74
CZE,2015,44.1357917642464,50.8140260880959,136.589288952208,9.0,38.0254717011159,14.51374149,189107698561.919,73.477,5305064.0,0.0,11.9787664741192,23.7339506123741,100.0,2.92549382205219,25050.0,66.6295181305301,0.472190344923266,5.75182008743286,18.1,1.50003420459832,10.48
CZE,2016,44.2490463349851,50.7882302495227,136.851858567543,9.0,38.0713323603149,14.28510857,198160659303.939,73.57,5344644.0,0.0,12.4044571732592,23.7610958428917,100.0,2.90148540355118,23200.0,65.9601528606104,0.434079426057189,5.55373001098633,16.7,1.50003420459832,10.43
CZE,2017,44.3647377679929,50.7640013956477,137.21587877218,10.0,38.0577793006004,14.13632774,221563575696.217,73.675,5370664.0,0.0,13.2206442691102,23.1824532218752,100.0,2.80295938058974,23000.0,65.3001802474571,0.428252446997243,3.80615997314453,15.6,1.50003420459832,11.24
