IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,iso3,Location,Period type,Year,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,SuicideRatesPer100k,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2016,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,13.61,,,7.53,,18.48,13.6 [7.5-18.5],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2016,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,9.18,,,5.01,,16.34,9.2 [5.0-16.3],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2015,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,13.97,,,7.77,,18.83,14.0 [7.8-18.8],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2015,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,9.26,,,5.04,,16.43,9.3 [5.0-16.4],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2014,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,14.78,,,8.26,,19.71,14.8 [8.3-19.7],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2014,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,9.02,,,4.91,,16.01,9.0 [4.9-16.0],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2013,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,15.41,,,8.7,,20.78,15.4 [8.7-20.8],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2013,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,9.02,,,4.92,,15.98,9.0 [4.9-16.0],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2012,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,15.42,,,8.92,,21.44,15.4 [8.9-21.4],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2012,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,8.98,,,4.91,,15.85,9.0 [4.9-15.8],,,EN,2025-01-28T03:00:00.000Z
